keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2015,5,67.0,2015-01-26,22.0,1.0
bol u grlu,2015,6,64.0,2015-02-02,26.0,1.0
bol u grlu,2015,7,51.0,2015-02-09,51.0,1.0
bol u grlu,2015,8,57.0,2015-02-16,28.0,1.0
bol u grlu,2015,9,69.0,2015-02-23,67.0,1.0
bol u grlu,2015,10,67.0,2015-03-02,40.0,1.0
bol u grlu,2015,11,64.0,2015-03-09,58.0,1.0
bol u grlu,2015,12,60.0,2015-03-16,38.0,1.0
bol u grlu,2015,13,76.0,2015-03-23,30.0,1.0
bol u grlu,2015,14,93.0,2015-03-30,23.0,1.0
bol u grlu,2015,15,62.0,2015-04-06,13.0,1.0
bol u grlu,2015,16,49.0,2015-04-13,11.0,1.0
bol u grlu,2015,17,61.0,2015-04-20,5.0,1.0
bol u grlu,2015,18,64.0,2015-04-27,2.0,1.0
bol u grlu,2015,19,46.0,2015-05-04,1.0,1.0
bol u grlu,2015,20,49.0,2015-05-11,0.0,1.0
bol u grlu,2015,21,32.0,2015-05-18,,
bol u grlu,2015,22,56.0,2015-05-25,,
bol u grlu,2015,23,58.0,2015-06-01,,
bol u grlu,2015,24,54.0,2015-06-08,,
bol u grlu,2015,25,41.0,2015-06-15,,
bol u grlu,2015,26,32.0,2015-06-22,,
bol u grlu,2015,27,0.0,2015-06-29,,
bol u grlu,2015,28,48.0,2015-07-06,,
bol u grlu,2015,29,0.0,2015-07-13,,
bol u grlu,2015,30,0.0,2015-07-20,,
bol u grlu,2015,31,47.0,2015-07-27,,
bol u grlu,2015,32,73.0,2015-08-03,,
bol u grlu,2015,33,0.0,2015-08-10,,
bol u grlu,2015,34,53.0,2015-08-17,,
bol u grlu,2015,35,62.0,2015-08-24,,
bol u grlu,2015,36,51.0,2015-08-31,,
bol u grlu,2015,37,50.0,2015-09-07,,
bol u grlu,2015,38,37.0,2015-09-14,,
bol u grlu,2015,39,60.0,2015-09-21,,
bol u grlu,2015,40,67.0,2015-09-28,,
bol u grlu,2015,41,58.0,2015-10-05,,
bol u grlu,2015,42,82.0,2015-10-12,,
bol u grlu,2015,43,48.0,2015-10-19,,
bol u grlu,2015,44,66.0,2015-10-26,,
bol u grlu,2015,45,47.0,2015-11-02,0.0,1.0
bol u grlu,2015,46,50.0,2015-11-09,0.0,1.0
bol u grlu,2015,47,55.0,2015-11-16,0.0,1.0
bol u grlu,2015,48,65.0,2015-11-23,0.0,1.0
bol u grlu,2015,49,82.0,2015-11-30,0.0,1.0
bol u grlu,2015,50,74.0,2015-12-07,0.0,1.0
bol u grlu,2015,51,88.0,2015-12-14,0.0,1.0
bol u grlu,2015,52,100.0,2015-12-21,0.0,1.0
bol u grlu,2015,53,46.42451298701299,2015-12-28,0.0,1.0
bol u grlu,2016,1,88.31980519480518,2016-01-04,3.0,1.0
bol u grlu,2016,2,55.48295454545455,2016-01-11,6.0,1.0
bol u grlu,2016,3,57.74756493506493,2016-01-18,16.0,1.0
bol u grlu,2016,4,73.59983766233766,2016-01-25,14.0,1.0
bol u grlu,2016,5,0.0,2016-02-01,26.0,1.0
bol u grlu,2016,6,47.55681818181818,2016-02-08,36.0,1.0
bol u grlu,2016,7,81.52597402597402,2016-02-15,14.0,1.0
bol u grlu,2016,8,76.99675324675324,2016-02-22,33.0,1.0
bol u grlu,2016,9,52.08603896103896,2016-02-29,44.0,1.0
bol u grlu,2016,10,79.26136363636363,2016-03-07,50.0,1.0
bol u grlu,2016,11,91.71672077922078,2016-03-14,35.0,1.0
bol u grlu,2016,12,81.52597402597402,2016-03-21,54.0,1.0
bol u grlu,2016,13,66.80600649350649,2016-03-28,57.0,1.0
bol u grlu,2016,14,39.63068181818181,2016-04-04,39.0,1.0
bol u grlu,2016,15,67.93831168831169,2016-04-11,26.0,1.0
bol u grlu,2016,16,56.61525974025974,2016-04-18,2.0,1.0
bol u grlu,2016,17,62.27678571428571,2016-04-25,2.0,1.0
bol u grlu,2016,18,52.08603896103896,2016-05-02,4.0,1.0
