lag,correlation
-8,0.10158429050495325
-7,0.16281042386541042
-6,0.17586788938614523
-5,0.17130330514564898
-4,0.14562117937786978
-3,0.1317553112478103
-2,0.21902870255644602
-1,0.37861958667251555
0,0.5197203281447906
1,0.5589914273640091
2,0.4908476836576708
3,0.3627122120829649
4,0.20234603314172475
5,0.10059163403986253
6,0.026792102019230542
7,-0.002058248466139681
8,-0.018008453281927177
